,period,area-name,series-description,value,units
4467,2012-12-01,NA,Federal Offshore--Gulf of Mexico Field Production of Crude Oil (Thousand Barrels per Day),1378,MBBL/D
4479,2012-12-01,USA-WY,Wyoming Field Production of Crude Oil (Thousand Barrels per Day),162,MBBL/D
4482,2012-12-01,NA,Federal Offshore PADD 5 Field Production of Crude Oil (Thousand Barrels per Day),45,MBBL/D
4484,2012-12-01,PADD 5,West Coast (PADD 5) Field Production of Crude Oil (Thousand Barrels per Day),1136,MBBL/D
4486,2012-12-01,PADD 1,East Coast (PADD 1) Field Production of Crude Oil (Thousand Barrels per Day),28,MBBL/D
4499,2012-12-01,USA-LA,Louisiana Field Production of Crude Oil (Thousand Barrels per Day),204,MBBL/D
4500,2012-12-01,USA-UT,Utah Field Production of Crude Oil (Thousand Barrels per Day),86,MBBL/D
4508,2012-12-01,USA-MT,Montana Field Production of Crude Oil (Thousand Barrels per Day),78,MBBL/D
4514,2012-12-01,USA-VA,Virginia Field Production of Crude Oil (Thousand Barrels per Day),0,MBBL/D
4528,2012-12-01,OHIO,Ohio Field Production of Crude Oil (Thousand Barrels per Day),14,MBBL/D
4533,2012-12-01,USA-NE,Nebraska Field Production of Crude Oil (Thousand Barrels per Day),8,MBBL/D
4543,2012-11-01,USA-AL,Alabama Field Production of Crude Oil (Thousand Barrels per Day),28,MBBL/D
4544,2012-11-01,USA-MS,Mississippi Field Production of Crude Oil (Thousand Barrels per Day),67,MBBL/D
4547,2012-11-01,PADD 4,Rocky Mountain (PADD 4) Field Production of Crude Oil (Thousand Barrels per Day),489,MBBL/D
4551,2012-11-01,USA-AK,Alaska North Slope Crude Oil Production (Thousand Barrels per Day),542,MBBL/D
4560,2012-11-01,COLORADO,Colorado Field Production of Crude Oil (Thousand Barrels per Day),160,MBBL/D
4568,2012-11-01,PADD 1,East Coast (PADD 1) Field Production of Crude Oil (Thousand Barrels per Day),29,MBBL/D
4590,2012-11-01,USA-IL,Illinois Field Production of Crude Oil (Thousand Barrels per Day),27,MBBL/D
4594,2012-11-01,USA-VA,Virginia Field Production of Crude Oil (Thousand Barrels per Day),0,MBBL/D
4596,2012-11-01,USA-WY,Wyoming Field Production of Crude Oil (Thousand Barrels per Day),162,MBBL/D
4598,2012-11-01,USA-MT,Montana Field Production of Crude Oil (Thousand Barrels per Day),78,MBBL/D
4629,2012-10-01,USA-AR,Arkansas Field Production of Crude Oil (Thousand Barrels per Day),18,MBBL/D
4631,2012-10-01,USA-WV,West Virginia Field Production of Crude Oil (Thousand Barrels per Day),7,MBBL/D
4637,2012-10-01,USA-UT,Utah Field Production of Crude Oil (Thousand Barrels per Day),89,MBBL/D
4647,2012-10-01,COLORADO,Colorado Field Production of Crude Oil (Thousand Barrels per Day),154,MBBL/D
4653,2012-10-01,PADD 5,West Coast (PADD 5) Field Production of Crude Oil (Thousand Barrels per Day),1143,MBBL/D
4659,2012-10-01,USA-NV,Nevada Field Production of Crude Oil (Thousand Barrels per Day),1,MBBL/D
4700,2012-10-01,USA-AK,Alaska Field Production of Crude Oil (Thousand Barrels per Day),547,MBBL/D
4714,2012-09-01,USA-SD,South Dakota Field Production of Crude Oil (Thousand Barrels per Day),5,MBBL/D
4745,2012-09-01,FLORIDA,Florida Field Production of Crude Oil (Thousand Barrels per Day),6,MBBL/D
4750,2012-09-01,USA-MS,Mississippi Field Production of Crude Oil (Thousand Barrels per Day),66,MBBL/D
4755,2012-09-01,USA-AR,Arkansas Field Production of Crude Oil (Thousand Barrels per Day),18,MBBL/D
4764,2012-09-01,PADD 1,East Coast (PADD 1) Field Production of Crude Oil (Thousand Barrels per Day),26,MBBL/D
4774,2012-09-01,USA-VA,Virginia Field Production of Crude Oil (Thousand Barrels per Day),0,MBBL/D
4779,2012-09-01,NEW YORK,New York Field Production of Crude Oil (Thousand Barrels per Day),1,MBBL/D
4782,2012-09-01,PADD 4,Rocky Mountain (PADD 4) Field Production of Crude Oil (Thousand Barrels per Day),463,MBBL/D
4786,2012-09-01,USA-MT,Montana Field Production of Crude Oil (Thousand Barrels per Day),75,MBBL/D
4792,2012-08-01,USA-PA,Pennsylvania Field Production of Crude Oil (Thousand Barrels per Day),13,MBBL/D
4812,2012-08-01,USA-IN,Indiana Field Production of Crude Oil (Thousand Barrels per Day),6,MBBL/D
4814,2012-08-01,USA-AZ,Arizona Field Production of Crude Oil (Thousand Barrels per Day),0,MBBL/D
4818,2012-08-01,USA-OK,Oklahoma Field Production of Crude Oil (Thousand Barrels per Day),287,MBBL/D
4820,2012-08-01,USA-ID,Idaho Field Production of Crude Oil (Thousand Barrels per Day),0,MBBL/D
4821,2012-08-01,USA-NM,New Mexico Field Production of Crude Oil (Thousand Barrels per Day),236,MBBL/D
4825,2012-08-01,PADD 4,Rocky Mountain (PADD 4) Field Production of Crude Oil (Thousand Barrels per Day),453,MBBL/D
4840,2012-08-01,COLORADO,Colorado Field Production of Crude Oil (Thousand Barrels per Day),133,MBBL/D
4845,2012-08-01,USA-MO,Missouri Field Production of Crude Oil (Thousand Barrels per Day),1,MBBL/D
4856,2012-08-01,NA,Federal Offshore PADD 5 Field Production of Crude Oil (Thousand Barrels per Day),50,MBBL/D
4871,2012-08-01,USA-NV,Nevada Field Production of Crude Oil (Thousand Barrels per Day),1,MBBL/D
4874,2012-07-01,USA-UT,Utah Field Production of Crude Oil (Thousand Barrels per Day),83,MBBL/D
4877,2012-07-01,USA-PA,Pennsylvania Field Production of Crude Oil (Thousand Barrels per Day),13,MBBL/D
4882,2012-07-01,NA,Federal Offshore--Gulf of Mexico Field Production of Crude Oil (Thousand Barrels per Day),1252,MBBL/D
4888,2012-07-01,NEW YORK,New York Field Production of Crude Oil (Thousand Barrels per Day),1,MBBL/D
4902,2012-07-01,NA,Florida Field Production of Crude Oil (Thousand Barrels per Day),6,MBBL/D
4903,2012-07-01,FLORIDA,Florida Field Production of Crude Oil (Thousand Barrels per Day),6,MBBL/D
4904,2012-07-01,NA,Federal Offshore PADD 5 Field Production of Crude Oil (Thousand Barrels per Day),53,MBBL/D
4906,2012-07-01,USA-OK,Oklahoma Field Production of Crude Oil (Thousand Barrels per Day),279,MBBL/D
4908,2012-07-01,USA-NE,Nebraska Field Production of Crude Oil (Thousand Barrels per Day),8,MBBL/D
4923,2012-07-01,PADD 5,West Coast (PADD 5) Field Production of Crude Oil (Thousand Barrels per Day),1011,MBBL/D
4945,2012-07-01,USA-VA,Virginia Field Production of Crude Oil (Thousand Barrels per Day),0,MBBL/D
4948,2012-07-01,PADD 1,East Coast (PADD 1) Field Production of Crude Oil (Thousand Barrels per Day),26,MBBL/D
4952,2012-07-01,USA-MO,Missouri Field Production of Crude Oil (Thousand Barrels per Day),1,MBBL/D
0,2012-06-01,USA-AK,Alaska North Slope Crude Oil Production (Thousand Barrels per Day),483,MBBL/D
7,2012-06-01,USA-MS,Mississippi Field Production of Crude Oil (Thousand Barrels per Day),67,MBBL/D
23,2012-06-01,NEW YORK,New York Field Production of Crude Oil (Thousand Barrels per Day),1,MBBL/D
31,2012-06-01,PADD 2,Midwest (PADD 2) Field Production of Crude Oil (Thousand Barrels per Day),1136,MBBL/D
35,2012-06-01,NA,Federal Offshore--Gulf of Mexico Field Production of Crude Oil (Thousand Barrels per Day),1114,MBBL/D
39,2012-06-01,NA,Alaska South Field Production of Crude Oil (Thousand Barrels per Day),10,MBBL/D
40,2012-06-01,PADD 5,West Coast (PADD 5) Field Production of Crude Oil (Thousand Barrels per Day),1087,MBBL/D
46,2012-06-01,USA-MI,Michigan Field Production of Crude Oil (Thousand Barrels per Day),20,MBBL/D
64,2012-06-01,USA-SD,South Dakota Field Production of Crude Oil (Thousand Barrels per Day),5,MBBL/D
71,2012-06-01,USA-AZ,Arizona Field Production of Crude Oil (Thousand Barrels per Day),0,MBBL/D
72,2012-06-01,USA-KS,Kansas Field Production of Crude Oil (Thousand Barrels per Day),119,MBBL/D
87,2012-05-01,USA-NE,Nebraska Field Production of Crude Oil (Thousand Barrels per Day),8,MBBL/D
91,2012-05-01,USA-AK,Alaska Field Production of Crude Oil (Thousand Barrels per Day),546,MBBL/D
93,2012-05-01,USA-PA,Pennsylvania Field Production of Crude Oil (Thousand Barrels per Day),11,MBBL/D
108,2012-05-01,USA-LA,Louisiana Field Production of Crude Oil (Thousand Barrels per Day),198,MBBL/D
125,2012-05-01,NA,Alaska South Field Production of Crude Oil (Thousand Barrels per Day),11,MBBL/D
129,2012-05-01,USA-UT,Utah Field Production of Crude Oil (Thousand Barrels per Day),80,MBBL/D
130,2012-05-01,USA-MT,Montana Field Production of Crude Oil (Thousand Barrels per Day),71,MBBL/D
131,2012-05-01,USA-TN,Tennessee Field Production of Crude Oil (Thousand Barrels per Day),1,MBBL/D
137,2012-05-01,CALIFORNIA,California Field Production of Crude Oil (Thousand Barrels per Day),539,MBBL/D
142,2012-05-01,USA-OK,Oklahoma Field Production of Crude Oil (Thousand Barrels per Day),269,MBBL/D
148,2012-05-01,USA-AK,Alaska North Slope Crude Oil Production (Thousand Barrels per Day),535,MBBL/D
160,2012-05-01,NA,Federal Offshore--Gulf of Mexico Field Production of Crude Oil (Thousand Barrels per Day),1195,MBBL/D
179,2012-04-01,USA-OK,Oklahoma Field Production of Crude Oil (Thousand Barrels per Day),256,MBBL/D
180,2012-04-01,USA-UT,Utah Field Production of Crude Oil (Thousand Barrels per Day),79,MBBL/D
190,2012-04-01,USA-NE,Nebraska Field Production of Crude Oil (Thousand Barrels per Day),8,MBBL/D
194,2012-04-01,USA-NM,New Mexico Field Production of Crude Oil (Thousand Barrels per Day),223,MBBL/D
199,2012-04-01,TEXAS,Texas Field Production of Crude Oil (Thousand Barrels per Day),1871,MBBL/D
203,2012-04-01,USA-AL,Alabama Field Production of Crude Oil (Thousand Barrels per Day),25,MBBL/D
212,2012-04-01,USA-IN,Indiana Field Production of Crude Oil (Thousand Barrels per Day),6,MBBL/D
220,2012-04-01,PADD 4,Rocky Mountain (PADD 4) Field Production of Crude Oil (Thousand Barrels per Day),428,MBBL/D
231,2012-04-01,USA-AK,Alaska Field Production of Crude Oil (Thousand Barrels per Day),552,MBBL/D
239,2012-04-01,USA-MO,Missouri Field Production of Crude Oil (Thousand Barrels per Day),0,MBBL/D
249,2012-04-01,PADD 5,West Coast (PADD 5) Field Production of Crude Oil (Thousand Barrels per Day),1133,MBBL/D
255,2012-03-01,USA-WY,Wyoming Field Production of Crude Oil (Thousand Barrels per Day),159,MBBL/D
272,2012-03-01,USA-IN,Indiana Field Production of Crude Oil (Thousand Barrels per Day),6,MBBL/D
292,2012-03-01,TEXAS,Texas Field Production of Crude Oil (Thousand Barrels per Day),1801,MBBL/D
302,2012-03-01,USA-MO,Missouri Field Production of Crude Oil (Thousand Barrels per Day),0,MBBL/D
311,2012-03-01,PADD 2,Midwest (PADD 2) Field Production of Crude Oil (Thousand Barrels per Day),1046,MBBL/D
312,2012-03-01,USA-AZ,Arizona Field Production of Crude Oil (Thousand Barrels per Day),0,MBBL/D
322,2012-03-01,USA-AK,Alaska Field Production of Crude Oil (Thousand Barrels per Day),567,MBBL/D
324,2012-03-01,NEW YORK,New York Field Production of Crude Oil (Thousand Barrels per Day),1,MBBL/D
327,2012-03-01,USA-IL,Illinois Field Production of Crude Oil (Thousand Barrels per Day),27,MBBL/D
345,2012-02-01,NEW YORK,New York Field Production of Crude Oil (Thousand Barrels per Day),1,MBBL/D
359,2012-02-01,NA,Florida Field Production of Crude Oil (Thousand Barrels per Day),6,MBBL/D
369,2012-02-01,USA-KY,Kentucky Field Production of Crude Oil (Thousand Barrels per Day),22,MBBL/D
385,2012-02-01,USA-WY,Wyoming Field Production of Crude Oil (Thousand Barrels per Day),156,MBBL/D
389,2012-02-01,USA-PA,Pennsylvania Field Production of Crude Oil (Thousand Barrels per Day),11,MBBL/D
401,2012-02-01,COLORADO,Colorado Field Production of Crude Oil (Thousand Barrels per Day),123,MBBL/D
407,2012-02-01,USA-AZ,Arizona Field Production of Crude Oil (Thousand Barrels per Day),0,MBBL/D
410,2012-02-01,NA,Federal Offshore--Gulf of Mexico Field Production of Crude Oil (Thousand Barrels per Day),1326,MBBL/D
417,2012-02-01,USA-MS,Mississippi Field Production of Crude Oil (Thousand Barrels per Day),64,MBBL/D
428,2012-01-01,USA-ND,North Dakota Field Production of Crude Oil (Thousand Barrels per Day),546,MBBL/D
452,2012-01-01,NA,Florida Field Production of Crude Oil (Thousand Barrels per Day),6,MBBL/D
457,2012-01-01,USA-WY,Wyoming Field Production of Crude Oil (Thousand Barrels per Day),152,MBBL/D
459,2012-01-01,USA-VA,Virginia Field Production of Crude Oil (Thousand Barrels per Day),0,MBBL/D
462,2012-01-01,USA-PA,Pennsylvania Field Production of Crude Oil (Thousand Barrels per Day),11,MBBL/D
463,2012-01-01,PADD 2,Midwest (PADD 2) Field Production of Crude Oil (Thousand Barrels per Day),1006,MBBL/D
464,2012-01-01,NEW YORK,New York Field Production of Crude Oil (Thousand Barrels per Day),1,MBBL/D
490,2012-01-01,USA-IL,Illinois Field Production of Crude Oil (Thousand Barrels per Day),26,MBBL/D
491,2012-01-01,USA-IN,Indiana Field Production of Crude Oil (Thousand Barrels per Day),6,MBBL/D
495,2012-01-01,USA-MI,Michigan Field Production of Crude Oil (Thousand Barrels per Day),20,MBBL/D
506,2011-12-01,USA-MI,Michigan Field Production of Crude Oil (Thousand Barrels per Day),20,MBBL/D
520,2011-12-01,USA-AL,Alabama Field Production of Crude Oil (Thousand Barrels per Day),25,MBBL/D
527,2011-12-01,USA-SD,South Dakota Field Production of Crude Oil (Thousand Barrels per Day),5,MBBL/D
539,2011-12-01,USA-NM,New Mexico Field Production of Crude Oil (Thousand Barrels per Day),208,MBBL/D
543,2011-12-01,PADD 1,East Coast (PADD 1) Field Production of Crude Oil (Thousand Barrels per Day),22,MBBL/D
555,2011-12-01,NA,Federal Offshore--Gulf of Mexico Field Production of Crude Oil (Thousand Barrels per Day),1257,MBBL/D
557,2011-12-01,USA-UT,Utah Field Production of Crude Oil (Thousand Barrels per Day),74,MBBL/D
558,2011-12-01,TEXAS,Texas Field Production of Crude Oil (Thousand Barrels per Day),1690,MBBL/D
562,2011-12-01,USA-WY,Wyoming Field Production of Crude Oil (Thousand Barrels per Day),152,MBBL/D
565,2011-12-01,USA-PA,Pennsylvania Field Production of Crude Oil (Thousand Barrels per Day),9,MBBL/D
566,2011-12-01,NA,Florida Field Production of Crude Oil (Thousand Barrels per Day),6,MBBL/D
568,2011-12-01,USA-NV,Nevada Field Production of Crude Oil (Thousand Barrels per Day),1,MBBL/D
576,2011-12-01,USA-ID,Idaho Field Production of Crude Oil (Thousand Barrels per Day),0,MBBL/D
581,2011-12-01,USA-WV,West Virginia Field Production of Crude Oil (Thousand Barrels per Day),6,MBBL/D
594,2011-11-01,NA,Florida Field Production of Crude Oil (Thousand Barrels per Day),6,MBBL/D
598,2011-11-01,USA-OK,Oklahoma Field Production of Crude Oil (Thousand Barrels per Day),247,MBBL/D
612,2011-11-01,USA-TN,Tennessee Field Production of Crude Oil (Thousand Barrels per Day),1,MBBL/D
630,2011-11-01,NA,Federal Offshore PADD 5 Field Production of Crude Oil (Thousand Barrels per Day),50,MBBL/D
632,2011-11-01,USA-NV,Nevada Field Production of Crude Oil (Thousand Barrels per Day),1,MBBL/D
649,2011-11-01,USA-WV,West Virginia Field Production of Crude Oil (Thousand Barrels per Day),6,MBBL/D
651,2011-11-01,USA-MO,Missouri Field Production of Crude Oil (Thousand Barrels per Day),0,MBBL/D
658,2011-11-01,USA-SD,South Dakota Field Production of Crude Oil (Thousand Barrels per Day),5,MBBL/D
659,2011-11-01,USA-NE,Nebraska Field Production of Crude Oil (Thousand Barrels per Day),7,MBBL/D
660,2011-11-01,USA-VA,Virginia Field Production of Crude Oil (Thousand Barrels per Day),0,MBBL/D
664,2011-11-01,USA-ND,North Dakota Field Production of Crude Oil (Thousand Barrels per Day),509,MBBL/D
668,2011-11-01,USA-ID,Idaho Field Production of Crude Oil (Thousand Barrels per Day),0,MBBL/D
672,2011-10-01,NA,Federal Offshore--Gulf of Mexico Field Production of Crude Oil (Thousand Barrels per Day),1291,MBBL/D
673,2011-10-01,USA-NV,Nevada Field Production of Crude Oil (Thousand Barrels per Day),1,MBBL/D
677,2011-10-01,NA,Alaska South Field Production of Crude Oil (Thousand Barrels per Day),11,MBBL/D
678,2011-10-01,NEW YORK,New York Field Production of Crude Oil (Thousand Barrels per Day),1,MBBL/D
694,2011-10-01,USA-TN,Tennessee Field Production of Crude Oil (Thousand Barrels per Day),1,MBBL/D
701,2011-10-01,USA-NM,New Mexico Field Production of Crude Oil (Thousand Barrels per Day),201,MBBL/D
715,2011-10-01,USA-NE,Nebraska Field Production of Crude Oil (Thousand Barrels per Day),7,MBBL/D
725,2011-10-01,NA,Federal Offshore PADD 5 Field Production of Crude Oil (Thousand Barrels per Day),55,MBBL/D
744,2011-10-01,USA-MI,Michigan Field Production of Crude Oil (Thousand Barrels per Day),20,MBBL/D
746,2011-10-01,USA-WY,Wyoming Field Production of Crude Oil (Thousand Barrels per Day),152,MBBL/D
773,2011-09-01,NA,Florida Field Production of Crude Oil (Thousand Barrels per Day),6,MBBL/D
789,2011-09-01,USA-AK,Alaska North Slope Crude Oil Production (Thousand Barrels per Day),574,MBBL/D
792,2011-09-01,USA-VA,Virginia Field Production of Crude Oil (Thousand Barrels per Day),0,MBBL/D
805,2011-09-01,USA-OK,Oklahoma Field Production of Crude Oil (Thousand Barrels per Day),233,MBBL/D
806,2011-09-01,USA-NV,Nevada Field Production of Crude Oil (Thousand Barrels per Day),1,MBBL/D
817,2011-09-01,USA-LA,Louisiana Field Production of Crude Oil (Thousand Barrels per Day),186,MBBL/D
824,2011-09-01,PADD 2,Midwest (PADD 2) Field Production of Crude Oil (Thousand Barrels per Day),894,MBBL/D
826,2011-09-01,PADD 3,Gulf Coast (PADD 3) Field Production of Crude Oil (Thousand Barrels per Day),3120,MBBL/D
840,2011-08-01,CALIFORNIA,California Field Production of Crude Oil (Thousand Barrels per Day),535,MBBL/D
857,2011-08-01,USA-MI,Michigan Field Production of Crude Oil (Thousand Barrels per Day),19,MBBL/D
860,2011-08-01,PADD 2,Midwest (PADD 2) Field Production of Crude Oil (Thousand Barrels per Day),869,MBBL/D
870,2011-08-01,USA-WY,Wyoming Field Production of Crude Oil (Thousand Barrels per Day),151,MBBL/D
876,2011-08-01,NEW YORK,New York Field Production of Crude Oil (Thousand Barrels per Day),1,MBBL/D
881,2011-08-01,USA-IN,Indiana Field Production of Crude Oil (Thousand Barrels per Day),6,MBBL/D
891,2011-08-01,USA-AK,Alaska North Slope Crude Oil Production (Thousand Barrels per Day),515,MBBL/D
903,2011-08-01,NA,Federal Offshore PADD 5 Field Production of Crude Oil (Thousand Barrels per Day),54,MBBL/D
917,2011-08-01,USA-VA,Virginia Field Production of Crude Oil (Thousand Barrels per Day),0,MBBL/D
953,2011-07-01,USA-WY,Wyoming Field Production of Crude Oil (Thousand Barrels per Day),151,MBBL/D
954,2011-07-01,USA-TN,Tennessee Field Production of Crude Oil (Thousand Barrels per Day),1,MBBL/D
955,2011-07-01,USA-NE,Nebraska Field Production of Crude Oil (Thousand Barrels per Day),7,MBBL/D
962,2011-07-01,PADD 2,Midwest (PADD 2) Field Production of Crude Oil (Thousand Barrels per Day),842,MBBL/D
971,2011-07-01,USA-KY,Kentucky Field Production of Crude Oil (Thousand Barrels per Day),9,MBBL/D
972,2011-07-01,PADD 1,East Coast (PADD 1) Field Production of Crude Oil (Thousand Barrels per Day),21,MBBL/D
986,2011-07-01,USA-MS,Mississippi Field Production of Crude Oil (Thousand Barrels per Day),67,MBBL/D
987,2011-07-01,USA-AK,Alaska Field Production of Crude Oil (Thousand Barrels per Day),453,MBBL/D
992,2011-07-01,USA-OK,Oklahoma Field Production of Crude Oil (Thousand Barrels per Day),224,MBBL/D
1005,2011-07-01,FLORIDA,Florida Field Production of Crude Oil (Thousand Barrels per Day),5,MBBL/D
1009,2011-06-01,USA-MT,Montana Field Production of Crude Oil (Thousand Barrels per Day),65,MBBL/D
1010,2011-06-01,USA-PA,Pennsylvania Field Production of Crude Oil (Thousand Barrels per Day),10,MBBL/D
1020,2011-06-01,PADD 1,East Coast (PADD 1) Field Production of Crude Oil (Thousand Barrels per Day),22,MBBL/D
1022,2011-06-01,USA-IL,Illinois Field Production of Crude Oil (Thousand Barrels per Day),25,MBBL/D
